grouping,group,n,improve_ge50_rate,future_ge900_rate,future_ge950_rate
Sexo,Femenino,129,0.3333333333333333,0.06976744186046512,0.031007751937984496
Sexo,Masculino,160,0.4375,0.4375,0.23125
Prueba,DISCO,77,0.4025974025974026,0.2857142857142857,0.14285714285714285
Prueba,JABALINA,63,0.4603174603174603,0.09523809523809523,0.015873015873015872
Prueba,MARTILLO,75,0.38666666666666666,0.37333333333333335,0.2
Prueba,PESO,74,0.32432432432432434,0.3108108108108108,0.1891891891891892
Categoria,U14,4,0.75,0.5,0.5
Categoria,U16,160,0.53125,0.29375,0.13125
Categoria,U18,107,0.22429906542056074,0.22429906542056074,0.1308411214953271
Categoria,U20,18,0.05555555555555555,0.3333333333333333,0.2222222222222222
