period,task,outcome,model,feature_set,n_instances,n_athletes,n_positive,r2,mae,rmse,roc_auc,pr_auc,balanced_accuracy,f1,brier
1997-2005,regression,future_max_points,GradientBoosting,context_current_implements,290,127,,0.48949997530784917,52.572548731030295,70.21321381190842,,,,,
1997-2005,regression,future_max_points,GradientBoosting,g1_current,290,127,,0.5633328406726263,48.61125483311435,64.93760002265005,,,,,
1997-2005,classification,future_ge900,RandomForest,context_current,127,127,23.0,,,,0.8482441471571907,0.5089130164629407,0.8072742474916388,0.59375,0.1445858633063917
1997-2005,classification,future_ge900,RandomForest,g1_current,127,127,23.0,,,,0.8494983277591973,0.5262096871742924,0.7926421404682273,0.6071428571428571,0.13577989415285927
2006-2012,regression,future_max_points,GradientBoosting,context_current_implements,221,93,,0.3713426222738385,61.09642836750592,83.08772522202452,,,,,
2006-2012,regression,future_max_points,GradientBoosting,g1_current,221,93,,0.4714848147720494,57.69960650021567,76.1830920849148,,,,,
2006-2012,classification,future_ge900,RandomForest,context_current,87,87,24.0,,,,0.8326719576719577,0.6108130244991253,0.7817460317460317,0.6557377049180327,0.16341644224906748
2006-2012,classification,future_ge900,RandomForest,g1_current,87,87,24.0,,,,0.8326719576719577,0.6259380256400302,0.7718253968253967,0.6545454545454545,0.15501001677409185
2013-2020,regression,future_max_points,GradientBoosting,context_current_implements,530,94,,0.5801244561485793,50.592638566016625,76.907530912864,,,,,
2013-2020,regression,future_max_points,GradientBoosting,g1_current,530,94,,0.5987189462167325,50.1143612604007,75.18529475706735,,,,,
2013-2020,classification,future_ge900,RandomForest,context_current,75,75,32.0,,,,0.9207848837209304,0.8569166188597642,0.8869912790697674,0.8709677419354839,0.11629358908837614
2013-2020,classification,future_ge900,RandomForest,g1_current,75,75,32.0,,,,0.909156976744186,0.8930591126788663,0.8829941860465116,0.8666666666666667,0.12189053826781468
