stratum,variable,n,mean,sd,median,q1,q3,min,max
all,n_future_observations,289,2.5986159169550174,1.89245527465019,2.0,1.0,3.0,1,13
all,observed_followup_days,289,381.6955017301038,204.1794826262635,371.0,210.0,546.0,21,730
future_ge900_0,n_future_observations,210,2.066666666666667,1.3216393087828224,2.0,1.0,3.0,1,7
future_ge900_0,observed_followup_days,210,340.84761904761905,190.49415874465822,355.5,204.0,467.5,21,730
future_ge900_1,n_future_observations,79,4.012658227848101,2.399218200047225,4.0,2.0,5.0,1,13
future_ge900_1,observed_followup_days,79,490.27848101265823,200.65546033379124,521.0,374.5,655.0,90,730
future_ge950_0,n_future_observations,248,2.2580645161290325,1.5077181608314532,2.0,1.0,3.0,1,9
future_ge950_0,observed_followup_days,248,362.23790322580646,196.84619618953826,363.0,204.0,521.25,21,730
future_ge950_1,n_future_observations,41,4.658536585365853,2.5846639636281634,5.0,3.0,6.0,1,13
future_ge950_1,observed_followup_days,41,499.390243902439,210.58369809279878,567.0,408.0,671.0,90,730
