minimum_future_observations,outcome,model,n,n_positive,roc_auc,pr_auc,balanced_accuracy,f1,brier
1,future_ge900,LogisticRegression,289,79,0.846895720313442,0.6721582152584071,0.8066305003013864,0.6914893617021277,0.15475623713896658
1,future_ge900,RandomForest,289,79,0.8649789029535865,0.6795330193810575,0.8122664255575648,0.7134502923976608,0.13796438888181733
1,future_ge900,GradientBoosting,289,79,0.8393610608800481,0.7028939208832516,0.7213381555153706,0.5986394557823129,0.14813320769629099
1,future_ge950,LogisticRegression,289,41,0.8461841070023604,0.5805478359842445,0.7711939417781275,0.496,0.1472523154315922
1,future_ge950,RandomForest,289,41,0.8515932336742722,0.6387753603836321,0.7239378442171518,0.5176470588235295,0.09979894458380632
1,future_ge950,GradientBoosting,289,41,0.8485444531864673,0.6395374978641837,0.7197088906372935,0.547945205479452,0.08830085611169944
2,future_ge900,LogisticRegression,180,67,0.8317263241315547,0.7574288370888241,0.7804781402720908,0.726027397260274,0.1618105715757103
2,future_ge900,RandomForest,180,67,0.8540483423590015,0.797660956578992,0.7790912693171311,0.7248322147651006,0.1515924008287634
2,future_ge900,GradientBoosting,180,67,0.7960639281468762,0.7415812593526501,0.7235503896446969,0.6515151515151515,0.19125503389970339
2,future_ge950,LogisticRegression,180,36,0.8406635802469136,0.7072931413248377,0.7395833333333333,0.5360824742268041,0.14952432184376804
2,future_ge950,RandomForest,180,36,0.8254243827160493,0.6885264865926601,0.7638888888888888,0.6133333333333333,0.12887776930514142
2,future_ge950,GradientBoosting,180,36,0.7501929012345679,0.619533397601156,0.7152777777777778,0.5625,0.13218477640768592
3,future_ge900,LogisticRegression,118,56,0.8845046082949308,0.8764291963111411,0.8130760368663594,0.8035714285714286,0.1343359539025834
3,future_ge900,RandomForest,118,56,0.8986175115207373,0.8867996426199781,0.7897465437788018,0.7863247863247863,0.13104581639547133
3,future_ge900,GradientBoosting,118,56,0.8646313364055299,0.8631877220424439,0.8130760368663594,0.8035714285714286,0.14917386878263333
3,future_ge950,LogisticRegression,118,33,0.8531194295900177,0.7776006362619303,0.7670231729055259,0.6493506493506493,0.1510276851309917
3,future_ge950,RandomForest,118,33,0.806060606060606,0.6866910178143781,0.7426024955436721,0.6216216216216216,0.16424419681959632
3,future_ge950,GradientBoosting,118,33,0.7543672014260249,0.6078282858617154,0.6987522281639929,0.5666666666666667,0.1801039048992469
