minimum_future_observations,n_instances,n_unique_athletes,analysis,target,model,feature_set,fold,n_rows,n_athletes,r2,mae,rmse
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,1,209,58,0.6791430267605458,48.809713928085706,62.362865609640046
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,2,208,57,0.38355182339814464,59.39140583543678,86.4507388628012
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,3,208,58,0.7150596093652075,47.266583307770695,62.87916961809752
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,4,208,58,0.7250359057446882,40.99751365505785,58.820958615999416
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,5,208,58,0.4896961967688306,70.63243278012744,95.40968333190018
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,g1_current,1,209,58,0.6494031407782812,51.83924067706863,65.18900202433954
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,g1_current,2,208,57,0.42347438598183995,58.04321391198063,83.60451401794346
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,g1_current,3,208,58,0.7212374101311962,46.70744851762846,62.19379179871008
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,g1_current,4,208,58,0.7215893344885868,42.72302228002071,59.18845984994731
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,g1_current,5,208,58,0.5208225890006616,67.4957281471932,92.45410956478486
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,1,209,58,0.6128016856474088,48.70051215513906,68.50733144961517
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,2,208,57,0.438017243340697,57.52682408641613,82.54331726107556
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,3,208,58,0.6909307652275816,43.30945407521717,65.48738948298222
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,4,208,58,0.7115827133418364,38.31690490016673,60.24274443390597
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,5,208,58,0.5367380662269116,68.49751115428386,90.90575114944727
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,g1_current,1,209,58,0.6569413661158751,47.09965069901757,64.48437558293341
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,g1_current,2,208,57,0.4450252010168234,57.40370165699832,82.02704273394399
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,g1_current,3,208,58,0.6838077966365519,44.91670187019169,66.23771902271183
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,g1_current,4,208,58,0.7190544075304016,39.1808816965788,59.45730451425065
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,g1_current,5,208,58,0.5266070319039908,68.44604733072148,91.89438024316897
1,1041,289,future_horizon_max_min1,future_max_points,GradientBoosting,context_current_implements,1,209,58,0.6059418243570982,48.75511481896098,69.1115276985487
1,1041,289,future_horizon_max_min1,future_max_points,GradientBoosting,context_current_implements,2,208,57,0.4508991001783349,58.117383606202324,81.59179750106577
