minimum_future_observations,n_instances,n_unique_athletes,analysis,target,model,feature_set,n_rows,n_athletes,r2_fold_mean,r2_fold_ci_low,r2_fold_ci_high,r2_oof,mae_fold_mean,mae_fold_ci_low,mae_fold_ci_high,mae_oof,rmse_fold_mean,rmse_fold_ci_low,rmse_fold_ci_high,rmse_oof
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,1041,289,0.5984973124074833,0.40801035085718734,0.7889842739577793,0.6086807002424923,53.4195299012957,38.92123542241484,67.91782438017655,53.41510164387666,73.18468320768767,52.598032721278955,93.77133369409638,74.66117909820377
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,g1_current,1041,289,0.6073053720761131,0.4441237717735929,0.7704869723786334,0.618771510571906,53.361730706778324,41.23616919569977,65.48729221785688,53.36026818033288,72.52597545114506,54.3371969976847,90.71475390460542,73.69226150639193
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,1041,289,0.598014094756887,0.4576679449893728,0.7383602445244013,0.6113092728106755,51.27024127424458,36.40017800272144,66.14030454576772,51.267772754437566,73.53730675540524,57.71378252901503,89.36083098179546,74.40999929974252
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,g1_current,1041,289,0.6062871606407285,0.4624923747201325,0.7500819465613245,0.6174391168799203,51.40939665070157,37.030135013133744,65.78865828826939,51.4052566449843,72.82016441940178,55.93202419584706,89.70830464295649,73.82092642218727
1,1041,289,future_horizon_max_min1,future_max_points,GradientBoosting,context_current_implements,1041,289,0.5786348621869,0.44288617812240305,0.7143835462513969,0.5893031271774902,53.37855108306485,38.477767576569946,68.27933458955975,53.3741097417929,75.50090283718728,58.44389446799417,92.5579112063804,76.48740177002007
1,1041,289,future_horizon_max_min1,future_max_points,GradientBoosting,g1_current,1041,289,0.6160480973711457,0.48388456345754516,0.7482116312847463,0.6289981786797647,51.309659236080584,37.89819028861048,64.72112818355069,51.30594467450836,71.88464859703359,56.77998136441417,86.98931582965301,72.69712423084646
2,737,185,future_horizon_max_min2,future_max_points,Ridge,context_current_implements,737,185,0.4977644631984205,0.24078588452312488,0.7547430418737161,0.5568733775543537,56.168357737608346,43.910056909349734,68.42665856586696,56.150914156266666,74.55951531113729,59.426124132635174,89.69290648963941,75.34314337738228
2,737,185,future_horizon_max_min2,future_max_points,Ridge,g1_current,737,185,0.5131795463766755,0.29990283555538066,0.7264562571979704,0.5670077574217613,56.11400218320981,45.04405930692997,67.18394505948966,56.09726579850501,73.90398212223728,60.990515315397005,86.81744892907756,74.47660511616077
2,737,185,future_horizon_max_min2,future_max_points,RandomForest,context_current_implements,737,185,0.5312388105310355,0.3576110347520628,0.7048665863100082,0.5898454887553997,53.797540086360186,45.66642951550139,61.92865065721898,53.78883338024783,72.2106648377692,63.3357184014885,81.08561127404991,72.48590414154033
2,737,185,future_horizon_max_min2,future_max_points,RandomForest,g1_current,737,185,0.5432888373584195,0.37067110719124996,0.715906567525589,0.5946100194758372,53.61490835115253,42.56035591458449,64.66946078772057,53.60148638455036,71.53746562642876,59.30801977866992,83.76691147418758,72.06366064309474
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,737,185,0.51638264272377,0.33403749088080537,0.6987277945667346,0.5743905871508983,54.361691418179326,44.92595671819742,63.79742611816123,54.35196078257781,73.47638764952956,63.162758472466244,83.79001682659288,73.83893535662709
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,g1_current,737,185,0.5002733094339794,0.2948749457685113,0.7056716730994474,0.5595429594478089,54.94469021336975,43.28272987712623,66.60665054961328,54.93476421557602,74.57831829810002,61.992084376767735,87.1645522194323,75.11585107855501
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,524,128,0.5377088497204514,0.3260462435057019,0.7493714559352009,0.557000125177896,53.77575981995976,34.71276751279628,72.83875212712323,53.72588519196182,70.76715560061923,50.535218898234774,90.99909230300369,72.19599590904923
3,524,128,future_horizon_max_min3,future_max_points,Ridge,g1_current,524,128,0.5398360095049879,0.3077171575729085,0.7719548614370673,0.5627592280782909,54.273731503911925,37.81622753649283,70.73123547133102,54.23254589051468,70.3343016200595,50.450909306222755,90.21769393389626,71.72517822714124
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,524,128,0.5798568946368002,0.37927677349421307,0.7804370157793874,0.6049906110024591,51.81180772680758,37.925931076013846,65.69768437760132,51.7750758056967,67.08669497345636,49.90693963621438,84.26645031069833,68.1734102241631
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,g1_current,524,128,0.5696357579522355,0.3286819140339701,0.810589601870501,0.5986989395073178,52.44323896356534,37.41712632451608,67.46935160261461,52.40499934443229,67.44834692608053,48.886197645443694,86.01049620671736,68.71419509429258
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,524,128,0.5452838205604758,0.31748512767124937,0.7730825134497021,0.5677898759437706,53.57556204331577,36.44411690909285,70.70700717753869,53.53250308772552,69.82510034818493,49.354662636656826,90.29553805971304,71.31136962108032
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,g1_current,524,128,0.5261476572068009,0.2628072373333178,0.789488077080284,0.5605857437258195,55.28963293889708,41.09194258404428,69.48732329374988,55.25392105002716,70.70510805509313,52.218936865651614,89.19127924453466,71.90322692409315
