feature,importance_mean,importance_sd
PUNTOS,0.10517992809659475,0.034525467490111185
Sexo,0.040733957400624056,0.010440126115792824
Edad,0.023415242165242156,0.011007004788628887
ARTEFACTO,0.012490672907339559,0.005785069533942891
Prueba,0.009846018179351499,0.008610944025755816
Categoria,0.006804538054538044,0.0020267323449670318
Longitud PJ,0.0046864401031067775,0.0036083776151495514
BOLA,0.0024547212047212053,0.0024169812528277005
Triple PJ,0.0024004544837878026,0.0028067428673376276
Salto Vertical,0.00196801655134989,0.002997268479899683
Dorsal,0.00037732329398996084,0.003765051383495764
