outcome,model,feature_set,fold,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,brier
improve_ge25,LogisticRegression,context_current,1,58,28,30,0.7964285714285715,0.8050994257431296,0.7416666666666667,0.7368421052631579,0.18768531754645099
improve_ge25,LogisticRegression,context_current,2,58,28,30,0.8369047619047618,0.8293782452800269,0.7595238095238095,0.7586206896551724,0.17229576599680285
improve_ge25,LogisticRegression,context_current,3,58,27,31,0.7598566308243727,0.7316529837046097,0.7043010752688172,0.6792452830188679,0.19843238719291462
improve_ge25,LogisticRegression,context_current,4,58,27,31,0.8255675029868578,0.8054028789985321,0.7275985663082437,0.7241379310344828,0.17672086608179902
improve_ge25,LogisticRegression,context_current,5,57,27,30,0.7012345679012345,0.7120537657349997,0.6314814814814815,0.6181818181818182,0.22745684969274618
improve_ge25,LogisticRegression,g1_current,1,58,28,30,0.8011904761904762,0.816568535655144,0.7583333333333333,0.75,0.18542528101886033
improve_ge25,LogisticRegression,g1_current,2,58,28,30,0.8107142857142857,0.8249036682936453,0.7071428571428571,0.7017543859649122,0.17921505914279748
improve_ge25,LogisticRegression,g1_current,3,58,27,31,0.7347670250896058,0.74629994650685,0.6881720430107527,0.6666666666666666,0.20736421749235864
improve_ge25,LogisticRegression,g1_current,4,58,27,31,0.8243727598566308,0.8090763996983616,0.7598566308243728,0.75,0.1734633419654049
improve_ge25,LogisticRegression,g1_current,5,57,27,30,0.7037037037037037,0.7056950513623963,0.6314814814814815,0.6181818181818182,0.22382992912748395
improve_ge25,RandomForest,context_current,1,58,28,30,0.7851190476190476,0.773694690652228,0.7095238095238094,0.7213114754098361,0.19401210136778096
improve_ge25,RandomForest,context_current,2,58,28,30,0.8297619047619048,0.8287929652823507,0.7380952380952381,0.7058823529411765,0.17793299142354843
improve_ge25,RandomForest,context_current,3,58,27,31,0.6678614097968937,0.5913643790323124,0.6487455197132617,0.6,0.23632088487252387
improve_ge25,RandomForest,context_current,4,58,27,31,0.7921146953405017,0.7792009355929197,0.7025089605734767,0.7272727272727273,0.20435049875595782
improve_ge25,RandomForest,context_current,5,57,27,30,0.7172839506172839,0.7174682298427704,0.6314814814814815,0.6181818181818182,0.2175611987053731
improve_ge25,RandomForest,g1_current,1,58,28,30,0.7595238095238095,0.7385804026685874,0.7071428571428571,0.7017543859649122,0.19991689019869546
improve_ge25,RandomForest,g1_current,2,58,28,30,0.8202380952380952,0.8172564768949506,0.725,0.7241379310344828,0.18443349490265804
improve_ge25,RandomForest,g1_current,3,58,27,31,0.7013142174432497,0.6726774218457492,0.6326164874551972,0.5882352941176471,0.2216179779178166
improve_ge25,RandomForest,g1_current,4,58,27,31,0.7526881720430108,0.749146142568236,0.6881720430107527,0.6666666666666666,0.20392440422421673
improve_ge25,RandomForest,g1_current,5,57,27,30,0.7012345679012346,0.744862797036772,0.6129629629629629,0.5925925925925926,0.22539384468957982
improve_ge25,GradientBoosting,context_current,1,58,28,30,0.75,0.7108616358477577,0.7226190476190477,0.7037037037037037,0.20754818306134817
improve_ge25,GradientBoosting,context_current,2,58,28,30,0.7488095238095238,0.759579125288486,0.6726190476190477,0.6666666666666666,0.20534781031055446
improve_ge25,GradientBoosting,context_current,3,58,27,31,0.6236559139784946,0.5719884730773228,0.5979689366786141,0.5490196078431373,0.28607288324747865
improve_ge25,GradientBoosting,context_current,4,58,27,31,0.8207885304659497,0.8286874567664753,0.7461170848267622,0.7457627118644068,0.18541497559163347
improve_ge25,GradientBoosting,context_current,5,57,27,30,0.6222222222222222,0.6383914905050385,0.6111111111111112,0.5769230769230769,0.27727158730553525
improve_ge25,GradientBoosting,g1_current,1,58,28,30,0.7273809523809524,0.719340957581982,0.6892857142857143,0.6785714285714286,0.2222673266306169
improve_ge25,GradientBoosting,g1_current,2,58,28,30,0.7535714285714287,0.7438724255947944,0.675,0.6885245901639344,0.20313558355707198
improve_ge25,GradientBoosting,g1_current,3,58,27,31,0.6762246117084826,0.6352014751255053,0.6326164874551972,0.5882352941176471,0.2590298862089142
improve_ge25,GradientBoosting,g1_current,4,58,27,31,0.7491039426523297,0.7222339311104096,0.6881720430107527,0.6666666666666666,0.21298303456201728
improve_ge25,GradientBoosting,g1_current,5,57,27,30,0.6296296296296297,0.6551989457958838,0.5944444444444444,0.5660377358490566,0.27241113862896393
improve_ge50,LogisticRegression,context_current,1,58,23,35,0.7130434782608696,0.666016401681867,0.632919254658385,0.5714285714285714,0.2185800779255839
improve_ge50,LogisticRegression,context_current,2,58,23,35,0.8496894409937888,0.8149536831166988,0.791304347826087,0.75,0.16261887917514586
improve_ge50,LogisticRegression,context_current,3,58,23,35,0.7801242236024845,0.6664207285073322,0.7055900621118012,0.6666666666666666,0.2041878510623184
improve_ge50,LogisticRegression,context_current,4,58,22,36,0.7891414141414141,0.7007747752136171,0.7664141414141414,0.7111111111111111,0.18758729751553846
improve_ge50,LogisticRegression,context_current,5,57,22,35,0.7363636363636363,0.6845864483922182,0.7519480519480519,0.7058823529411765,0.21480679000948324
improve_ge50,LogisticRegression,g1_current,1,58,23,35,0.7204968944099379,0.7008368851657358,0.632919254658385,0.5714285714285714,0.21226421182783692
improve_ge50,LogisticRegression,g1_current,2,58,23,35,0.8409937888198756,0.828108671975084,0.7695652173913043,0.723404255319149,0.16507997486548548
improve_ge50,LogisticRegression,g1_current,3,58,23,35,0.7925465838509317,0.650473328809385,0.691304347826087,0.6545454545454545,0.19973509499881575
improve_ge50,LogisticRegression,g1_current,4,58,22,36,0.7727272727272727,0.6771808136541047,0.702020202020202,0.6382978723404256,0.19181633005030557
improve_ge50,LogisticRegression,g1_current,5,57,22,35,0.7493506493506494,0.686435142112229,0.714935064935065,0.6666666666666666,0.21760799067995004
improve_ge50,RandomForest,context_current,1,58,23,35,0.698136645962733,0.6591963896054055,0.6546583850931678,0.6,0.2175441426601724
improve_ge50,RandomForest,context_current,2,58,23,35,0.8453416149068324,0.8481864640782231,0.8341614906832298,0.8,0.15822758271163748
improve_ge50,RandomForest,context_current,3,58,23,35,0.7316770186335404,0.6192119746810487,0.6614906832298137,0.5957446808510638,0.21317888960772133
improve_ge50,RandomForest,context_current,4,58,22,36,0.7752525252525252,0.6622397385158952,0.6843434343434344,0.6046511627906976,0.18764861961770077
improve_ge50,RandomForest,context_current,5,57,22,35,0.7467532467532467,0.7137054497209405,0.6551948051948051,0.6,0.2060621603055438
improve_ge50,RandomForest,g1_current,1,58,23,35,0.679503105590062,0.648687299242617,0.639751552795031,0.5652173913043478,0.21962159941467208
improve_ge50,RandomForest,g1_current,2,58,23,35,0.8161490683229814,0.8055185192453459,0.7763975155279503,0.7272727272727273,0.1725133360574876
improve_ge50,RandomForest,g1_current,3,58,23,35,0.7614906832298136,0.6428264686078169,0.6614906832298137,0.5957446808510638,0.1971321776666788
improve_ge50,RandomForest,g1_current,4,58,22,36,0.7588383838383839,0.6617318818343441,0.6982323232323233,0.6190476190476191,0.19382646450612737
improve_ge50,RandomForest,g1_current,5,57,22,35,0.7350649350649351,0.7366130538217004,0.7123376623376623,0.6521739130434783,0.205797055946032
improve_ge50,GradientBoosting,context_current,1,58,23,35,0.622360248447205,0.5869886598521714,0.5677018633540373,0.4782608695652174,0.2726236893538575
improve_ge50,GradientBoosting,context_current,2,58,23,35,0.7913043478260869,0.7864867322324404,0.7546583850931676,0.6976744186046512,0.16890059137519756
improve_ge50,GradientBoosting,context_current,3,58,23,35,0.7167701863354037,0.5813830044423571,0.6037267080745341,0.5217391304347826,0.24638964509847067
improve_ge50,GradientBoosting,context_current,4,58,22,36,0.7222222222222222,0.5564244538597198,0.6666666666666667,0.5641025641025641,0.2177153047375979
improve_ge50,GradientBoosting,context_current,5,57,22,35,0.7350649350649351,0.6974343336495188,0.6753246753246753,0.6086956521739131,0.2062902451989381
