outcome,model,without_physical_tests,with_physical_tests,n_rows,n_positive,bootstrap_replicates,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_pr_auc,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_brier,delta_brier_ci_low,delta_brier_ci_high
improve_ge25,LogisticRegression,context_current,g1_current,289,137,2000,-0.003073376872838929,-0.013657405237799361,0.006568649356527581,0.004035240874927015,-0.012568783694617797,0.022145182856800345,-0.001358519620291987,-0.005381533332011758,0.0023381678058357032
improve_ge25,RandomForest,context_current,g1_current,289,137,2000,-0.00285728006146746,-0.029318085648876533,0.023819644591830526,0.01709535683324126,-0.021100409690258105,0.05480965040425003,-0.0009982203767029962,-0.01051447431870767,0.008771123447847171
improve_ge25,GradientBoosting,context_current,g1_current,289,137,2000,-0.0014406454091433485,-0.039141059388914885,0.0369105260634322,-0.010211665144778448,-0.0616979962413962,0.04599183725913181,-0.0016567792138289794,-0.022371791372355686,0.020237898944774853
improve_ge50,LogisticRegression,context_current,g1_current,289,113,2000,0.0008547868061140607,-0.013598594190961568,0.014937918199290023,-0.002485624205846859,-0.023403393633948777,0.027085679780540186,0.0002660353289954398,-0.005300191271744804,0.005904435779017364
improve_ge50,RandomForest,context_current,g1_current,289,113,2000,-0.010735116653258325,-0.03248806582699349,0.009676443002808068,-0.0006430634758490816,-0.04249236735168238,0.0370439531389416,-0.0012510759455930665,-0.00931816342207087,0.006207070918302733
improve_ge50,GradientBoosting,context_current,g1_current,289,113,2000,0.02358205953338699,-0.014180765175830367,0.060187279727421425,0.0574255550870012,0.0034104556888540916,0.11000958143373765,0.016093820723633384,-0.004700341281789771,0.036107513532796794
improve_ge75,LogisticRegression,context_current,g1_current,289,92,2000,0.008386669609357633,-0.01151531339031329,0.027408730158730285,0.012875350148026654,-0.02161717430966193,0.05533600205202989,0.0028758281633532723,-0.0040617227503110965,0.009764686030516822
improve_ge75,RandomForest,context_current,g1_current,289,92,2000,-0.006345177664974777,-0.029795716504380225,0.017422190127419378,0.01191317115656454,-0.03516044569088663,0.06192817723281751,0.004109462106928696,-0.004866046424734523,0.013257807658228534
improve_ge75,GradientBoosting,context_current,g1_current,289,92,2000,0.0001103509159124938,-0.05045002889009513,0.0504669251673625,0.014197575111486671,-0.043453244116248325,0.08157529324257731,0.004732989312826424,-0.018345100474652105,0.02880099047416218
future_ge900,LogisticRegression,context_current,g1_current,289,79,2000,-0.005846895720313383,-0.015195553497374507,0.002690864491988082,-0.001459318466574655,-0.02048323623836508,0.01700119896232284,-0.0012785179274889535,-0.005489222255503381,0.002841936844626476
future_ge900,RandomForest,context_current,g1_current,289,79,2000,0.006298975286317066,-0.012316705028646038,0.02425882763392424,0.05167091395981571,-0.004120914132578257,0.09992500371158725,0.00494790972444159,-0.003114084044364452,0.012530640963689567
future_ge900,GradientBoosting,context_current,g1_current,289,79,2000,0.0031344183242917323,-0.0207396616662713,0.027908793822967504,0.027193165855543877,-0.0394838232684408,0.08588671236267323,-0.0022424070511298244,-0.016496383117419355,0.012593429197119154
future_ge950,LogisticRegression,context_current,g1_current,289,41,2000,-0.0006884343036978047,-0.023760969483470208,0.02468278596857894,0.016286499704346036,-0.04918829788996437,0.09418170656817546,0.007311929377335824,-0.0037725876804452834,0.01858587782397835
future_ge950,RandomForest,context_current,g1_current,289,41,2000,0.0027537372147914407,-0.0333747560407361,0.03682728577522385,0.047963686409974615,-0.04219627031000013,0.14045089685888223,0.020759156811014298,0.009519581589592064,0.03188122060456867
future_ge950,GradientBoosting,context_current,g1_current,289,41,2000,0.013326121164437432,-0.036288537185598595,0.06800180061484414,-0.012998930245396889,-0.08729668867890676,0.05255980039992126,0.0021555574550525675,-0.012708004099368127,0.016165345653166435
