outcome,model,feature_set,n_rows,n_positive,positive_rate,calibration_intercept_oof,calibration_slope_oof,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,roc_auc_oof,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high,pr_auc_oof,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_oof,f1_mean,f1_ci_low,f1_ci_high,f1_oof,brier_mean,brier_ci_low,brier_ci_high,brier_oof
improve_ge25,LogisticRegression,context_current,289,137,0.4740484429065744,-0.11643999478859329,0.9033060238725735,0.7839984070091597,0.7156666590602241,0.8523301549580953,0.7788129081828659,0.7767174598922596,0.712757456526945,0.8406774632575742,0.7653306849724636,0.7129143198498038,0.6510791279373448,0.7747495117622628,0.7132875528236651,0.7034055654306998,0.6341519035171361,0.7726592273442634,0.7046263345195729,0.19251823730214274,0.16519072320958825,0.21984575139469723,0.1923973424495801
improve_ge25,LogisticRegression,g1_current,289,137,0.4740484429065744,-0.11943300866882295,0.8822287630751654,0.7749496501109404,0.7095381056197242,0.8403611946021566,0.7757395313100269,0.7805087203032794,0.715826906346956,0.8451905342596029,0.7693659258473906,0.7089972691585595,0.6425173561616604,0.7754771821554587,0.7092777564348829,0.6973205741626793,0.6271569243734924,0.7674842239518663,0.697841726618705,0.19385956574938107,0.16765043147843395,0.2200687000203282,0.19375586206987208
improve_ge25,RandomForest,context_current,289,137,0.4740484429065744,-0.097339728092627,0.9187475167442211,0.7584282016271263,0.6778852769960096,0.838971126258243,0.743445063388398,0.7381042400805163,0.6250880962381982,0.8511203839228345,0.713711016335163,0.6860710018774535,0.6308903544211956,0.7412516493337115,0.6858912792931233,0.6745296747611116,0.5993010498964131,0.7497582996258101,0.6784452296819788,0.20603553502503683,0.17836008257824576,0.2337109874718279,0.20599565383583154
improve_ge25,RandomForest,g1_current,289,137,0.4740484429065744,-0.06908292099794017,0.9612763679920159,0.74699977242988,0.685745688486002,0.808253856373758,0.7405877833269305,0.7445046482028591,0.6808618053453047,0.8081474910604135,0.7308063731684042,0.673178870114354,0.613195318923009,0.7331624213056989,0.6738618901267768,0.6546773740752603,0.5774996229061373,0.7318551252443832,0.656934306569343,0.20705732238659333,0.18627215579995507,0.2278424889732316,0.20699387421253454
improve_ge25,GradientBoosting,context_current,289,137,0.4740484429065744,-0.09684067418372419,0.45016894512689104,0.713095238095238,0.6046847185758761,0.8215057576145999,0.7127833269304649,0.7019016362970161,0.5771273975358017,0.8266758750582305,0.6967136707311031,0.6700870455709166,0.5886047162039696,0.7515693749378636,0.6702122550902805,0.6484151534001983,0.5447955584736923,0.7520347483267042,0.652014652014652,0.23233108790330997,0.17525761259542105,0.2894045632111989,0.23217558444517078
improve_ge25,GradientBoosting,g1_current,289,137,0.4740484429065744,-0.07953732865560482,0.45553593292038047,0.7071821129885646,0.6412155182107527,0.7731487077663765,0.7113426815213215,0.695169547041715,0.6366578949574687,0.7536811991259612,0.6865020055863247,0.6559037378392218,0.6045589877017908,0.7072484879766529,0.6566941990011526,0.6376071430737467,0.5677121722543704,0.7075021138931229,0.64,0.23396539391751686,0.19654057481134593,0.27139021302368777,0.23383236365899976
improve_ge50,LogisticRegression,context_current,289,113,0.39100346020761245,-0.4408484117031401,0.8716543380623203,0.7736724386724386,0.7081832933623342,0.839161583982543,0.7675482703137572,0.7065504073823465,0.6292064992374756,0.7838943155272174,0.6748603945431482,0.7296351715916934,0.6521286279621563,0.8071417152212306,0.7296359613837491,0.6810177404295052,0.5965796783464139,0.7654558025125966,0.680161943319838,0.19755617913761397,0.1690819748398424,0.22603038343538553,0.1974964884425556
improve_ge50,LogisticRegression,g1_current,289,113,0.39100346020761245,-0.43930922534974354,0.8630893151471793,0.7752230378317335,0.7186746239999808,0.8317714516634862,0.7684030571198712,0.7086069683433077,0.6225825355239639,0.7946314011626515,0.6723747703373013,0.7021488173662086,0.641260387010676,0.7630372477217412,0.7021570796460177,0.6508685640600534,0.5828789255421711,0.7188582025779358,0.6506024096385542,0.19730072048447875,0.17162443849666606,0.22297700247229144,0.19723045311356016
improve_ge50,RandomForest,context_current,289,113,0.39100346020761245,-0.35063469639409584,1.0380170377705338,0.7594322103017755,0.690525560354014,0.8283388602495371,0.759880329847144,0.7005080033203026,0.5898617816813214,0.8111542249592838,0.6813544984560488,0.6979697597088901,0.6022525259261426,0.7936869934916375,0.6983356798069187,0.6400791687283524,0.5290074098967528,0.7511509275599519,0.6382978723404256,0.19653227898055517,0.16640052003458838,0.22666403792652196,0.1964993036126486
improve_ge50,RandomForest,g1_current,289,113,0.39100346020761245,-0.26464456651567225,1.0565185725338768,0.7502092352092353,0.6888174523446338,0.8116010180738369,0.7491452131938857,0.6990754445503647,0.6116358153911413,0.7865150737095882,0.6807114349801997,0.6976419474245561,0.6323011453574656,0.7629827494916466,0.6976820193081255,0.6318912663038473,0.5547831587847389,0.7089993738229556,0.6311111111111111,0.19777812671819958,0.1763096964315882,0.21924655700481097,0.19775037955824168
improve_ge50,GradientBoosting,context_current,289,113,0.39100346020761245,-0.26319655323953417,0.41751557651205184,0.7175443879791705,0.6419403980594829,0.7931483778988582,0.7132944489139179,0.6417434368072416,0.52076417206284,0.7627227015516431,0.5808419353363468,0.6536156597026161,0.5642474802074454,0.7429838391977869,0.6537610619469026,0.5740945269762256,0.4692966065721016,0.6788924473803497,0.5727272727272728,0.22238389515281237,0.17333589597392518,0.27143189433169956,0.22243958252289497
improve_ge50,GradientBoosting,g1_current,289,113,0.39100346020761245,-0.182267595020791,0.5101827007432477,0.7377467218771566,0.6814726445321629,0.7940207992221503,0.7368765084473049,0.6775606991603755,0.601733693803606,0.7533877045171451,0.638267490423348,0.6829261559696341,0.6256530282588999,0.7401992836803684,0.6837540225261465,0.6007758649619115,0.5147638779023043,0.6867878520215187,0.6037735849056604,0.20634885719838297,0.17770959835609995,0.234988116040666,0.2063457617992616
improve_ge75,LogisticRegression,context_current,289,92,0.31833910034602075,-0.7031448317779749,0.8579300335287212,0.772017918728445,0.710313754739647,0.8337220827172431,0.764842198190245,0.6368678614382104,0.527347768399444,0.7463879544769768,0.598768268993807,0.7140575798470534,0.6591539125400339,0.768961247154073,0.7136669609357758,0.6138262770820909,0.5562893238298936,0.6713632303342882,0.6132075471698113,0.19539807489924724,0.17022670761386505,0.22056944218462943,0.19548406092304677
improve_ge75,LogisticRegression,g1_current,289,92,0.31833910034602075,-0.7023850388441704,0.8431123037641471,0.7773241865347128,0.7148114069518509,0.8398369661175747,0.7732288677996026,0.6536637595336329,0.5385627655308592,0.7687647535364065,0.6116436191418336,0.7015227170490329,0.6194955755772712,0.7835498585207946,0.7006179651291106,0.598721150499986,0.5100294643001541,0.6874128366998179,0.5981308411214953,0.19251386037003054,0.16739559429526496,0.21763212644479613,0.1926082327596935
improve_ge75,RandomForest,context_current,289,92,0.31833910034602075,-0.5742428975604345,0.8070611361174123,0.7448721697405907,0.6819633869120516,0.8077809525691297,0.7383579783712205,0.5776566204354532,0.49395479237010365,0.6613584485008027,0.5298777517775606,0.7094568151147097,0.651470709137302,0.7674429210921174,0.7093356874862061,0.6055469192054558,0.534520270185481,0.6765735682254306,0.6060606060606061,0.1979268678789023,0.18084156402380883,0.21501217173399575,0.19800237391031394
improve_ge75,RandomForest,g1_current,289,92,0.31833910034602075,-0.4593575679995681,0.9254070420763985,0.7381590193432299,0.670147605455061,0.8061704332313988,0.7320128007062457,0.5877470945482116,0.49127411641113883,0.6842200726852844,0.5417909229341251,0.6949493927125505,0.6209255086639613,0.7689732767611397,0.6944934892959611,0.5816358392209786,0.4833632679359987,0.6799084105059585,0.5837837837837838,0.1938308043684165,0.17634651166574422,0.21131509707108875,0.19389291180338525
