analysis,target,model,feature_set,fold,n_rows,n_athletes,r2,mae,rmse
future_next_observation,next_points,Ridge,context_current_implements,1,207,58,0.5650397534928955,47.320185163308366,74.54837694042287
future_next_observation,next_points,Ridge,context_current_implements,2,207,58,0.7311089693751999,35.927757699974165,56.64909709369257
future_next_observation,next_points,Ridge,context_current_implements,3,207,58,0.7954275030255396,35.37948598386339,51.94046159720424
future_next_observation,next_points,Ridge,context_current_implements,4,207,58,0.7342893514568014,49.19819511073532,66.61943452786602
future_next_observation,next_points,Ridge,context_current_implements,5,206,57,0.3203392758313822,48.9571733422773,90.66002899770274
future_next_observation,next_points,Ridge,g1_current,1,207,58,0.554799408565548,48.834853829592994,75.42082448607722
future_next_observation,next_points,Ridge,g1_current,2,207,58,0.7123009340341837,37.36648464076468,58.59682167935801
future_next_observation,next_points,Ridge,g1_current,3,207,58,0.7959148766757016,36.37325404002416,51.878553207784094
future_next_observation,next_points,Ridge,g1_current,4,207,58,0.7435997232404264,47.34663526587287,65.44187095615759
future_next_observation,next_points,Ridge,g1_current,5,206,57,0.335196169081576,48.630602976369836,89.66367258000606
future_next_observation,next_points,RandomForest,context_current_implements,1,207,58,0.5718649786551582,43.18483588845009,73.96117237715573
future_next_observation,next_points,RandomForest,context_current_implements,2,207,58,0.684854995684941,37.382185534072235,61.32817594749379
future_next_observation,next_points,RandomForest,context_current_implements,3,207,58,0.7782977307359741,35.2899015900837,54.07135476973885
future_next_observation,next_points,RandomForest,context_current_implements,4,207,58,0.7187316426092739,47.185865811010295,68.54202022399878
future_next_observation,next_points,RandomForest,context_current_implements,5,206,57,0.4225557815793124,45.644403261308334,83.56507078303783
future_next_observation,next_points,RandomForest,g1_current,1,207,58,0.5689800398361513,44.574944208549184,74.20994344760233
future_next_observation,next_points,RandomForest,g1_current,2,207,58,0.676166030136637,39.5995209479907,62.16787694056359
future_next_observation,next_points,RandomForest,g1_current,3,207,58,0.7782209912773124,36.18148938203195,54.08071202057754
future_next_observation,next_points,RandomForest,g1_current,4,207,58,0.7116277176237815,48.254437781457604,69.40219715663928
future_next_observation,next_points,RandomForest,g1_current,5,206,57,0.4041143694234366,47.522721482487796,84.88896198240613
future_next_observation,next_points,GradientBoosting,context_current_implements,1,207,58,0.5510338497024584,45.13054285287688,75.73911196846771
future_next_observation,next_points,GradientBoosting,context_current_implements,2,207,58,0.6396842037484243,37.45072839587958,65.57623604628398
future_next_observation,next_points,GradientBoosting,context_current_implements,3,207,58,0.7267826602038359,36.94413586368785,60.02557252876173
future_next_observation,next_points,GradientBoosting,context_current_implements,4,207,58,0.6858700810714901,49.100008618989804,72.43544181969519
future_next_observation,next_points,GradientBoosting,context_current_implements,5,206,57,0.41269440628731635,48.05537632867115,84.27559653475024
future_next_observation,next_points,GradientBoosting,g1_current,1,207,58,0.5469677928921267,46.466515331438416,76.08130415091168
future_next_observation,next_points,GradientBoosting,g1_current,2,207,58,0.6480219257258146,41.12856417019389,64.81307695713998
future_next_observation,next_points,GradientBoosting,g1_current,3,207,58,0.7754645469709072,37.213871174633056,54.41575305208496
future_next_observation,next_points,GradientBoosting,g1_current,4,207,58,0.631988791324811,53.36849282045185,78.40197184283828
future_next_observation,next_points,GradientBoosting,g1_current,5,206,57,0.4353489592672609,46.30433344176715,82.63420118131798
future_horizon_max,future_max_points,Ridge,context_current_implements,1,209,58,0.6791430267605458,48.809713928085706,62.362865609640046
future_horizon_max,future_max_points,Ridge,context_current_implements,2,208,57,0.38355182339814464,59.39140583543678,86.4507388628012
future_horizon_max,future_max_points,Ridge,context_current_implements,3,208,58,0.7150596093652075,47.266583307770695,62.87916961809752
future_horizon_max,future_max_points,Ridge,context_current_implements,4,208,58,0.7250359057446882,40.99751365505785,58.820958615999416
future_horizon_max,future_max_points,Ridge,context_current_implements,5,208,58,0.4896961967688306,70.63243278012744,95.40968333190018
future_horizon_max,future_max_points,Ridge,g1_current,1,209,58,0.6494031407782812,51.83924067706863,65.18900202433954
future_horizon_max,future_max_points,Ridge,g1_current,2,208,57,0.42347438598183995,58.04321391198063,83.60451401794346
future_horizon_max,future_max_points,Ridge,g1_current,3,208,58,0.7212374101311962,46.70744851762846,62.19379179871008
future_horizon_max,future_max_points,Ridge,g1_current,4,208,58,0.7215893344885868,42.72302228002071,59.18845984994731
future_horizon_max,future_max_points,Ridge,g1_current,5,208,58,0.5208225890006616,67.4957281471932,92.45410956478486
future_horizon_max,future_max_points,RandomForest,context_current_implements,1,209,58,0.612801685647409,48.70051215513904,68.50733144961515
future_horizon_max,future_max_points,RandomForest,context_current_implements,2,208,57,0.43801724334069725,57.52682408641612,82.54331726107554
future_horizon_max,future_max_points,RandomForest,context_current_implements,3,208,58,0.6909307652275816,43.309454075217175,65.48738948298221
future_horizon_max,future_max_points,RandomForest,context_current_implements,4,208,58,0.7115827133418362,38.31690490016675,60.24274443390598
future_horizon_max,future_max_points,RandomForest,context_current_implements,5,208,58,0.5367380662269117,68.49751115428383,90.90575114944724
future_horizon_max,future_max_points,RandomForest,g1_current,1,209,58,0.6569413661158751,47.099650699017566,64.48437558293341
future_horizon_max,future_max_points,RandomForest,g1_current,2,208,57,0.44502520101682363,57.40370165699831,82.02704273394397
future_horizon_max,future_max_points,RandomForest,g1_current,3,208,58,0.6838077966365519,44.91670187019169,66.23771902271183
future_horizon_max,future_max_points,RandomForest,g1_current,4,208,58,0.7190544075304017,39.180881696578766,59.45730451425064
