analysis,target,model,feature_set,n_rows,n_athletes,r2_fold_mean,r2_fold_ci_low,r2_fold_ci_high,r2_oof,mae_fold_mean,mae_fold_ci_low,mae_fold_ci_high,mae_oof,rmse_fold_mean,rmse_fold_ci_low,rmse_fold_ci_high,rmse_oof
future_next_observation,next_points,Ridge,context_current_implements,1034,289,0.6292409706363638,0.3899408208737003,0.8685411203990272,0.6529985361176642,43.35655946003171,34.576170698338196,52.13694822172523,43.351143005600136,68.08347983137769,48.99876648247275,87.16819318028263,69.43394832877776
future_next_observation,next_points,Ridge,g1_current,1034,289,0.6283622223194871,0.3962697586546553,0.860454685984319,0.6527885808896414,43.710366150524905,35.91232071348041,51.5084115875694,43.705607700983464,68.20034858187658,49.7934652212452,86.60723194250797,69.45495085687796
future_next_observation,next_points,RandomForest,context_current_implements,1034,289,0.6352610258529319,0.46059969434342646,0.8099223573624372,0.6570268844570706,41.73743841698493,35.29801121388381,48.17686562008605,41.733659921003955,68.293558820285,54.188366458585854,82.39875118198414,69.02974160480754
future_next_observation,next_points,RandomForest,g1_current,1034,289,0.6278218296594638,0.446301041762276,0.8093426175566516,0.6500792930366899,43.226622760503446,36.7645062522091,49.68873926879779,43.22246792614949,68.94993830955778,54.40318195940052,83.49669465971503,69.72540250474599
future_next_observation,next_points,GradientBoosting,context_current_implements,1034,289,0.603213040202705,0.4480648989913292,0.7583611814140809,0.6260159086233044,43.33615841202105,36.14390501151588,50.528411812526215,43.3315943714827,71.61039177959177,60.016389153413705,83.20439440576983,72.08298664935431
future_next_observation,next_points,GradientBoosting,g1_current,1034,289,0.6075584032361842,0.4508011777520782,0.7643156287202901,0.6269123965790725,44.89635538769687,37.30691002563003,52.48580074976371,44.89499370679352,71.26926143685857,56.991256076156375,85.54726679756077,71.99653871767411
future_horizon_max,future_max_points,Ridge,context_current_implements,1041,289,0.5984973124074833,0.40801035085718734,0.7889842739577793,0.6086807002424923,53.4195299012957,38.92123542241484,67.91782438017655,53.41510164387666,73.18468320768767,52.598032721278955,93.77133369409638,74.66117909820377
future_horizon_max,future_max_points,Ridge,g1_current,1041,289,0.6073053720761131,0.4441237717735929,0.7704869723786334,0.618771510571906,53.361730706778324,41.23616919569977,65.48729221785688,53.36026818033288,72.52597545114506,54.3371969976847,90.71475390460542,73.69226150639193
future_horizon_max,future_max_points,RandomForest,context_current_implements,1041,289,0.5980140947568872,0.457667944989373,0.7383602445244013,0.6113092728106756,51.27024127424458,36.400178002721454,66.1403045457677,51.267772754437566,73.53730675540524,57.71378252901505,89.36083098179543,74.40999929974251
future_horizon_max,future_max_points,RandomForest,g1_current,1041,289,0.6062871606407286,0.4624923747201327,0.7500819465613245,0.6174391168799203,51.40939665070157,37.03013501313373,65.7886582882694,51.405256644984284,72.82016441940175,55.932024195847035,89.70830464295646,73.82092642218727
future_horizon_max,future_max_points,GradientBoosting,context_current_implements,1041,289,0.5786348621869,0.44288617812240305,0.7143835462513969,0.5893031271774902,53.37855108306485,38.477767576569946,68.27933458955975,53.3741097417929,75.50090283718728,58.44389446799417,92.5579112063804,76.48740177002007
future_horizon_max,future_max_points,GradientBoosting,g1_current,1041,289,0.6160480973711457,0.48388456345754516,0.7482116312847463,0.6289981786797647,51.309659236080584,37.89819028861048,64.72112818355069,51.30594467450836,71.88464859703359,56.77998136441417,86.98931582965301,72.69712423084646
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,289,289,0.1388199092068492,-0.17846302507742837,0.45610284349112673,0.19744324673025804,57.80728682664367,52.07476609047355,63.539807562813785,57.79349409428007,77.32515620091192,70.47318150076026,84.17713090106358,77.46349743768455
baseline_continuous_change,future_delta_points,Ridge,g1_current,289,289,0.141944877225355,-0.15410590458295834,0.4379956590336683,0.1926718695874985,58.29156476928533,51.68332038628033,64.89980915229033,58.278892386407335,77.44511537686508,68.51180779376665,86.3784229599635,77.69342500161318
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,289,289,0.11796037657344309,-0.3095555434473867,0.5454762965942729,0.1830875668469386,57.062049765968574,49.896145712035405,64.22795381990174,57.04718635182961,77.78052943907063,67.01375025807593,88.54730862006534,78.15323823295488
baseline_continuous_change,future_delta_points,RandomForest,g1_current,289,289,0.12531138464384003,-0.23410941202237637,0.48473218131005646,0.17376776047014209,58.12026520163064,48.52534108335053,67.71518931991075,58.10697079261918,78.0610409071694,65.15862298356103,90.96345883077777,78.59778244627756
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,289,289,0.03180948922126277,-0.49997771294745547,0.563596691389981,0.11083958391228299,59.93252673067512,52.4262334197924,67.43882004155785,59.906073528134996,81.0856354792233,68.95563061638187,93.21564034206473,81.53597797995674
baseline_continuous_change,future_delta_points,GradientBoosting,g1_current,289,289,0.11925817865249458,-0.23994924138055237,0.4784655986855415,0.16904620940315518,58.46810439132738,48.96924242934911,67.96696635330565,58.44805004468487,78.32163591513412,65.8313480855241,90.81192374474415,78.82203826829586
